epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.314,2.17584,2.50397,2.0648,0.14753,0.23684,0.0941,0.02689,2.60779,2.6913,2.63135,0.00066474,0.00066474,0.00066474
2,773.372,2.02538,2.28846,1.98064,0.12129,0.17544,0.09103,0.02689,2.49189,3.26076,2.6361,0.00131823,0.00131823,0.00131823
3,1141.89,1.99297,2.25338,1.97911,0.23565,0.21053,0.13794,0.04504,2.48646,3.79549,2.54573,0.00195851,0.00195851,0.00195851
4,1508.3,1.9828,2.26053,1.96618,0.20963,0.12281,0.10013,0.04071,2.433,3.02977,2.34638,0.0019406,0.0019406,0.0019406
5,1874.91,1.94755,2.23033,1.92867,0.37097,0.07018,0.099,0.02616,2.65522,2.85143,2.5482,0.0019208,0.0019208,0.0019208
6,2240.72,1.9317,2.23494,1.90981,0.28386,0.29825,0.23396,0.07236,2.30504,2.85752,2.27181,0.001901,0.001901,0.001901
7,2609.5,1.89907,2.20132,1.88783,0.29972,0.2193,0.20829,0.05335,2.39627,2.51583,2.24029,0.0018812,0.0018812,0.0018812
8,2977.2,1.90142,2.18269,1.90272,0.31851,0.30702,0.20024,0.06216,2.29103,2.59655,2.30756,0.0018614,0.0018614,0.0018614
9,3342.77,1.88171,2.19426,1.88677,0.24575,0.21053,0.16943,0.04314,2.38411,3.05844,2.41255,0.0018416,0.0018416,0.0018416
10,3711.06,1.87872,2.19293,1.87815,0.30536,0.32456,0.22446,0.06543,2.28262,2.62453,2.24562,0.0018218,0.0018218,0.0018218
11,4076.71,1.85565,2.15992,1.86797,0.35805,0.34211,0.26643,0.08003,2.21046,2.66062,2.29607,0.001802,0.001802,0.001802
12,4441.9,1.82895,2.13675,1.86198,0.32957,0.28947,0.22984,0.06466,2.3447,2.51236,2.37237,0.0017822,0.0017822,0.0017822
13,4806.91,1.83428,2.13677,1.85442,0.25046,0.28947,0.20128,0.06137,2.21083,2.96767,2.28606,0.0017624,0.0017624,0.0017624
14,5171.77,1.79872,2.10809,1.84771,0.35533,0.30702,0.25156,0.0819,2.17434,2.3339,2.24622,0.0017426,0.0017426,0.0017426
15,5536.58,1.81742,2.11633,1.84244,0.2768,0.30702,0.22205,0.07293,2.38773,2.55651,2.37475,0.0017228,0.0017228,0.0017228
16,5901.46,1.80162,2.11357,1.83894,0.20067,0.23684,0.15877,0.04675,2.15857,2.89814,2.34982,0.001703,0.001703,0.001703
17,6266.54,1.80083,2.13339,1.84833,0.38272,0.20175,0.2259,0.08232,2.23299,2.53398,2.2091,0.0016832,0.0016832,0.0016832
18,6635.09,1.78968,2.09884,1.82987,0.22502,0.32456,0.17673,0.06084,2.13599,2.60513,2.18716,0.0016634,0.0016634,0.0016634
19,7001.29,1.79301,2.09904,1.83333,0.37129,0.25439,0.27292,0.09293,2.14846,2.42264,2.23951,0.0016436,0.0016436,0.0016436
20,7369.97,1.77873,2.09256,1.82981,0.2863,0.31579,0.27448,0.08767,2.14474,2.83945,2.22108,0.0016238,0.0016238,0.0016238
21,7735.47,1.7719,2.06514,1.82942,0.34237,0.31579,0.23092,0.07887,2.17468,2.51976,2.29672,0.001604,0.001604,0.001604
22,8100.22,1.77538,2.08405,1.82342,0.36027,0.19267,0.2506,0.09705,2.26412,2.65135,2.34964,0.0015842,0.0015842,0.0015842
23,8465.43,1.76202,2.05726,1.81555,0.38142,0.32456,0.28947,0.09511,2.18394,2.52049,2.2378,0.0015644,0.0015644,0.0015644
24,8830.66,1.75003,2.04803,1.81996,0.35147,0.34211,0.30935,0.11435,2.13772,2.34856,2.21044,0.0015446,0.0015446,0.0015446
25,9195.72,1.75255,2.05826,1.8098,0.34933,0.32968,0.25802,0.07685,2.14568,2.84603,2.22828,0.0015248,0.0015248,0.0015248
26,9560.78,1.7507,2.05552,1.81186,0.41675,0.31341,0.30232,0.11263,2.11086,2.41381,2.19875,0.001505,0.001505,0.001505
27,9926.09,1.74734,2.04867,1.81421,0.35311,0.30167,0.28327,0.09496,2.16088,2.37086,2.20911,0.0014852,0.0014852,0.0014852
28,10291.3,1.747,2.04819,1.80827,0.44735,0.31579,0.32686,0.11401,2.13305,2.25113,2.17636,0.0014654,0.0014654,0.0014654
29,10657.6,1.7131,2.02485,1.79366,0.37206,0.35088,0.30457,0.10823,2.15114,2.43473,2.25977,0.0014456,0.0014456,0.0014456
30,11025.6,1.73995,2.02584,1.80056,0.4152,0.32456,0.33009,0.10663,2.14824,2.52093,2.20271,0.0014258,0.0014258,0.0014258
31,11392,1.71837,2.03646,1.78536,0.41837,0.41228,0.3556,0.12815,2.07318,2.24445,2.16313,0.001406,0.001406,0.001406
32,11757.5,1.72633,2.03681,1.79188,0.38349,0.35469,0.32531,0.11727,2.0566,2.48746,2.15911,0.0013862,0.0013862,0.0013862
33,12126.3,1.7142,2.01333,1.78918,0.26844,0.33333,0.21488,0.07633,2.19648,2.43166,2.21911,0.0013664,0.0013664,0.0013664
34,12494.5,1.71176,2.01209,1.78983,0.29861,0.35088,0.27999,0.10122,2.12613,2.47202,2.20942,0.0013466,0.0013466,0.0013466
35,12863,1.70496,2.0236,1.79606,0.36346,0.35965,0.30797,0.10286,2.07703,2.25409,2.10598,0.0013268,0.0013268,0.0013268
36,13230.8,1.71175,2.02121,1.79094,0.33693,0.37444,0.30126,0.1013,2.16037,2.41426,2.25313,0.001307,0.001307,0.001307
